Type,Number of videos posted,Channel Name,Total Engagement (Likes + Comments),,,,,,
ZKSync,912,UloggersTV,2555490,,,,,,
ZKSync,436,Crypto Currency State,10143150,,,,,,
ZKSync,227,VirtualBacon,133911180,,,,,,
ZKSync,219,Indian Crypto Official🇮🇳,3055270,,,,,,
ZKSync,194,DeFi Chronicles,4447910,,,,,,
ZKSync,136,Coleta Cripto,3093710,,,,,,
ZKSync,125,Krypto Cove,21862560,,,,,,
ZKSync,123,Tarık Bilen,12352410,,,,,,
ZKSync,122,Bruno Costa,5115080,,,,,,
Taiko,118,Crypto Currency State,1400090,,,,,,
ZKSync,112,ROAD TO,25100,,,,,,
ZKSync,103,Max Online Income,216150,,,,,,
ZKSync,98,CryptoHindi,8589280,,,,,,
ZKSync,93,Real Airdrop Bangla,95040,,,,,,
ZKSync,91,Airdrops Spot,908310,,,,,,
ZKSync,84,SONU CRYPTO,1895310,,,,,,
ZKSync,82,Alt Crypto Gems,2213410,,,,,,
Starknet,75,Crypto Currency State,1776520,,,,,,
ZKSync,75,Bit Hustle,430160,,,,,,
ZKSync,75,CryptoEnglish,1758710,,,,,,
ZKSync,72,Gerçek Kriptocu,2989920,,,,,,
ZKSync,72,XYZ Crypto,1071400,,,,,,
ZKSync,71,Knightron Crypto,1865640,,,,,,
ZKSync,70,Airdrop Mühendisi,3259250,,,,,,
ZKSync,70,SGR Crypto ( Airdrops),92430,,,,,,
ZKSync,65,CryptoGG {Lm},14952300,,,,,,
ZKSync,64,CryptoTelugu,1519890,,,,,,
ZKSync,62,affilionWEB3,1296930,,,,,,
ZKSync,61,Crypto Insight,788140,,,,,,
ZKSync,61,Learn Fast Earn,900560,,,,,,
ZKSync,61,Sardinha Esperta,1486970,,,,,,
ZKSync,60,Crypto with Lorenzo,1913210,,,,,,
ZKSync,59,Modern Trader,2505250,,,,,,
ZKSync,56,Crypto Banter,21634630,,,,,,
ZKSync,56,Michal Lewicz,1750800,,,,,,
ZKSync,55,DK Free Fund,477050,,,,,,
ZKSync,55,TIPS CRYPTO,3230450,,,,,,
ZKSync,54,Tech Help In Hindi,794120,,,,,,
