Blockchain Project,Channel Name,Channel Link,Published At SQL,Views,Likes,Comments,Engagement (Likes + Comments)
ZKSync,Amphi Paul Painlevé,https://www.youtube.com/channel/AmphiPaulPainlevé,2018-03-10,13250,190,60,250
ZKSync,Zero Knowledge,https://www.youtube.com/channel/ZeroKnowledge,2020-02-13,5230,150,0,150
ZKSync,Blockchain Education Network,https://www.youtube.com/channel/BlockchainEducationNetwork,2020-05-09,4380,10,20,30
ZKSync,Chico Crypto,https://www.youtube.com/channel/ChicoCrypto,2020-09-28,511890,24580,3470,28050
ZKSync,EverythingAltcoin,https://www.youtube.com/channel/EverythingAltcoin,2021-01-20,8690,500,480,980
ZKSync,CRYPTO WintCRAZY,https://www.youtube.com/channel/CRYPTOWintCRAZY,2021-02-05,7250,260,140,400
ZKSync,Randy Hilarski,https://www.youtube.com/channel/RandyHilarski,2021-02-15,11340,880,400,1280
ZKSync,The Daily Gwei,https://www.youtube.com/channel/TheDailyGwei,2021-03-02,146270,890,110,1000
ZKSync,ilca lami,https://www.youtube.com/channel/ilcalami,2021-03-17,13570,350,220,570
ZKSync,Zero Knowledge,https://www.youtube.com/channel/ZeroKnowledge,2021-03-17,5010,110,20,130
ZKSync,Chico Crypto,https://www.youtube.com/channel/ChicoCrypto,2021-04-17,443540,14100,1430,15530
ZKSync,LITE CRYPTO,https://www.youtube.com/channel/LITECRYPTO,2021-06-19,30650,730,50,780
ZKSync,Cryptoque,https://www.youtube.com/channel/Cryptoque,2021-06-26,3260,100,60,160
ZKSync,Mr. RATTAR's Crypto,https://www.youtube.com/channel/Mr.RATTAR'sCrypto,2021-07-21,13880,440,260,700
ZKSync,Drake on Digital,https://www.youtube.com/channel/DrakeonDigital,2021-08-04,28170,1220,470,1690
ZKSync,Piotr Kluza,https://www.youtube.com/channel/PiotrKluza,2021-08-24,5570,100,20,120
ZKSync,LITE CRYPTO,https://www.youtube.com/channel/LITECRYPTO,2021-09-02,51370,1530,150,1680
ZKSync,Tijad,https://www.youtube.com/channel/Tijad,2021-09-29,7160,340,180,520
ZKSync,LITE CRYPTO,https://www.youtube.com/channel/LITECRYPTO,2021-10-04,40920,1420,140,1560
ZKSync,Modern Trader,https://www.youtube.com/channel/ModernTrader,2021-10-17,21760,900,180,1080
ZKSync,Tech Rift Net,https://www.youtube.com/channel/TechRiftNet,2021-10-20,2890,90,0,90
ZKSync,Biconomy,https://www.youtube.com/channel/Biconomy,2021-11-01,11870,1490,340,1830
ZKSync,LITE CRYPTO,https://www.youtube.com/channel/LITECRYPTO,2021-11-01,26740,970,30,1000
ZKSync,Cryptoque,https://www.youtube.com/channel/Cryptoque,2021-11-06,4520,170,70,240
ZKSync,Simulate & Trade,https://www.youtube.com/channel/Simulate&Trade,2021-11-13,120090,13000,720,13720
ZKSync,Sam Rexford,https://www.youtube.com/channel/SamRexford,2021-11-14,9480,320,40,360
ZKSync,Chico Crypto,https://www.youtube.com/channel/ChicoCrypto,2021-11-16,687210,32160,3230,35390
ZKSync,Bankless,https://www.youtube.com/channel/Bankless,2021-11-17,60100,2310,280,2590
ZKSync,The Cattle List,https://www.youtube.com/channel/TheCattleList,2021-11-22,18850,650,140,790
ZKSync,SK CryptoK,https://www.youtube.com/channel/SKCryptoK,2021-11-26,11420,740,300,1040
ZKSync,Crypto Bikash Airdrop🪂,https://www.youtube.com/channel/CryptoBikashAirdrop🪂,2021-11-30,20120,620,90,710
ZKSync,Modern Trader,https://www.youtube.com/channel/ModernTrader,2021-12-04,22670,1000,320,1320
ZKSync,Persian Altcoiner,https://www.youtube.com/channel/PersianAltcoiner,2021-12-05,27650,1220,720,1940
ZKSync,DeFi Talks,https://www.youtube.com/channel/DeFiTalks,2021-12-05,31190,1230,150,1380
ZKSync,Airdrop Official,https://www.youtube.com/channel/AirdropOfficial,2021-12-06,17900,220,20,240
ZKSync,GA Crypto,https://www.youtube.com/channel/GACrypto,2021-12-07,48270,2120,160,2280
ZKSync,moneyfc,https://www.youtube.com/channel/moneyfc,2021-12-07,14050,400,240,640
